run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
62,100,2,50.0,50.0,5.0,1e-08,50,False,900.0,2,0.002030183530129198,0.04505755796899337,1.2242758319003109,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
64,100,2,50.0,50.0,5.0,1e-08,120,False,900.0,2,0.002030183530129198,0.04505755796899337,1.2242758319003109,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
63,100,2,50.0,50.0,5.0,1e-08,80,False,900.0,2,0.002030183530129198,0.04505755796899337,1.2242758319003109,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
65,100,2,50.0,50.0,5.0,1e-07,25,False,900.0,2,0.019608379630308627,0.14002992405307027,1.2235682442018025,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
66,100,2,50.0,50.0,5.0,1e-07,50,False,900.0,2,0.030290007805869344,0.17404024766090556,1.077262458913749,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
67,100,2,50.0,50.0,5.0,1e-07,80,False,900.0,2,0.030290007805869344,0.17404024766090556,1.077262458913749,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
68,100,2,50.0,50.0,5.0,1e-07,120,False,900.0,2,0.030290007805869344,0.17404024766090556,1.077262458913749,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
70,100,2,50.0,50.0,5.0,5e-07,50,False,900.0,2,0.020489925515971404,0.1431430246850031,1.1556000216911504,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
69,100,2,50.0,50.0,5.0,5e-07,25,False,900.0,2,0.020334581573412426,0.1425993743794566,1.192190783473679,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
71,100,2,50.0,50.0,5.0,5e-07,80,False,900.0,2,0.020489925515971404,0.1431430246850031,1.1556000216911504,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
72,100,2,50.0,50.0,5.0,5e-07,120,False,900.0,2,0.020489925515971404,0.1431430246850031,1.1556000216911504,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
74,100,2,75.0,50.0,1.0,1e-08,50,False,900.0,2,nan,nan,20.756447260632722,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
73,100,2,75.0,50.0,1.0,1e-08,25,False,900.0,2,nan,nan,20.59332891241668,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
75,100,2,75.0,50.0,1.0,1e-08,80,False,900.0,2,nan,nan,20.687344015424237,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
76,100,2,75.0,50.0,1.0,1e-08,120,False,900.0,2,nan,nan,20.30505873971295,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
77,100,2,75.0,50.0,1.0,1e-07,25,False,900.0,2,nan,nan,20.69808331742445,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
78,100,2,75.0,50.0,1.0,1e-07,50,False,900.0,2,nan,nan,20.649276680635452,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
79,100,2,75.0,50.0,1.0,1e-07,80,False,900.0,2,nan,nan,20.579189580253168,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
80,100,2,75.0,50.0,1.0,1e-07,120,False,900.0,2,nan,nan,20.282603985971686,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
81,100,2,75.0,50.0,1.0,5e-07,25,False,900.0,2,nan,nan,20.707415123271986,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
82,100,2,75.0,50.0,1.0,5e-07,50,False,900.0,2,0.03542924635128112,0.18822658247782412,1.088714291863398,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
83,100,2,75.0,50.0,1.0,5e-07,80,False,900.0,2,nan,nan,20.89812133335536,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
84,100,2,75.0,50.0,1.0,5e-07,120,False,900.0,2,nan,nan,19.98508668580685,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
85,100,2,75.0,50.0,3.0,1e-08,25,False,900.0,2,nan,nan,20.601984770717035,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
86,100,2,75.0,50.0,3.0,1e-08,50,False,900.0,2,nan,nan,20.390503539680516,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
87,100,2,75.0,50.0,3.0,1e-08,80,False,900.0,2,nan,nan,20.10019635683936,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
88,100,2,75.0,50.0,3.0,1e-08,120,False,900.0,2,nan,nan,20.266722721379164,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
89,100,2,75.0,50.0,3.0,1e-07,25,False,900.0,2,nan,nan,20.636481796308516,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
90,100,2,75.0,50.0,3.0,1e-07,50,False,900.0,2,nan,nan,20.391995895088538,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
91,100,2,75.0,50.0,3.0,1e-07,80,False,900.0,2,nan,nan,20.722828863718743,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
92,100,2,75.0,50.0,3.0,1e-07,120,False,900.0,2,nan,nan,20.27071956979662,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
93,100,2,75.0,50.0,3.0,5e-07,25,False,900.0,2,nan,nan,20.750496180472382,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
95,100,2,75.0,50.0,3.0,5e-07,80,False,900.0,2,nan,nan,20.45514477399075,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
94,100,2,75.0,50.0,3.0,5e-07,50,False,900.0,2,0.004086182376269681,0.06392325379914324,1.5281871409556136,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
96,100,2,75.0,50.0,3.0,5e-07,120,False,900.0,2,0.021387472089698274,0.1462445625987451,10.201122249215766,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
97,100,2,75.0,50.0,5.0,1e-08,25,False,900.0,2,nan,nan,20.60267665424901,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
98,100,2,75.0,50.0,5.0,1e-08,50,False,900.0,2,0.0366492609576842,0.19143996698099433,0.5242866300472172,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
99,100,2,75.0,50.0,5.0,1e-08,80,False,900.0,2,nan,nan,20.51403907933233,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
100,100,2,75.0,50.0,5.0,1e-08,120,False,900.0,2,nan,nan,20.008405856271086,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
101,100,2,75.0,50.0,5.0,1e-07,25,False,900.0,2,nan,nan,20.730363936327226,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
102,100,2,75.0,50.0,5.0,1e-07,50,False,900.0,2,0.009233001936900425,0.09608851095162431,1.1335412544048884,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
104,100,2,75.0,50.0,5.0,1e-07,120,False,900.0,2,nan,nan,19.982060267236072,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
103,100,2,75.0,50.0,5.0,1e-07,80,False,900.0,2,nan,nan,20.510553474196897,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
105,100,2,75.0,50.0,5.0,5e-07,25,False,900.0,2,nan,nan,20.32576078583753,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
106,100,2,75.0,50.0,5.0,5e-07,50,False,900.0,2,0.005323849752039837,0.0729647158018164,1.4122787205191696,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
107,100,2,75.0,50.0,5.0,5e-07,80,False,900.0,2,nan,nan,20.817193852080795,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
108,100,2,75.0,50.0,5.0,5e-07,120,False,900.0,2,0.02144192346812363,0.14643060973759423,10.093806084186406,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
109,100,2,35.0,70.0,1.0,1e-08,25,False,900.0,2,105.77737256648723,10.284812714215423,9.039392239698634,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
110,100,2,35.0,70.0,1.0,1e-08,50,False,900.0,2,0.01835318323688464,0.1354739208736672,1.8060206328508654,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
111,100,2,35.0,70.0,1.0,1e-08,80,False,900.0,2,0.01637659356805197,0.12797106535483702,2.422562947147007,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
112,100,2,35.0,70.0,1.0,1e-08,120,False,900.0,2,0.01637659356805197,0.12797106535483702,2.422562947147007,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
113,100,2,35.0,70.0,1.0,1e-07,25,False,900.0,2,102.63475290985816,10.1308811516994,9.174018777962647,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
114,100,2,35.0,70.0,1.0,1e-07,50,False,900.0,2,0.004759683110818438,0.06899045666480574,1.9577189702145852,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
115,100,2,35.0,70.0,1.0,1e-07,80,False,900.0,2,0.0163764336073641,0.12797044036559418,2.4269981600145334,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
116,100,2,35.0,70.0,1.0,1e-07,120,False,900.0,2,0.0163764336073641,0.12797044036559418,2.4269981600145334,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
117,100,2,35.0,70.0,1.0,5e-07,25,False,900.0,2,101.84604485501866,10.091880144701415,9.137615847437447,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
118,100,2,35.0,70.0,1.0,5e-07,50,False,900.0,2,0.005907884637385282,0.07686276496057946,1.9868678933322559,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
119,100,2,35.0,70.0,1.0,5e-07,80,False,900.0,2,0.01637985116757088,0.1279837925972304,2.4285320362555978,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
120,100,2,35.0,70.0,1.0,5e-07,120,False,900.0,2,0.01637985116757088,0.1279837925972304,2.4285320362555978,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
121,100,2,35.0,70.0,3.0,1e-08,25,False,900.0,2,112.18609982459628,10.59179398518477,8.618952839996059,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
123,100,2,35.0,70.0,3.0,1e-08,80,False,900.0,2,0.016470980742195638,0.12833931876940768,3.1260814341011303,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
122,100,2,35.0,70.0,3.0,1e-08,50,False,900.0,2,0.025800214386797707,0.16062445139765522,3.071316695099356,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
124,100,2,35.0,70.0,3.0,1e-08,120,False,900.0,2,0.016470980742195638,0.12833931876940768,3.1260814341011303,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
126,100,2,35.0,70.0,3.0,1e-07,50,False,900.0,2,0.0039621414165481135,0.06294554326199842,3.044571040335756,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
125,100,2,35.0,70.0,3.0,1e-07,25,False,900.0,2,112.13530867041446,10.58939604842573,8.618313677806894,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
128,100,2,35.0,70.0,3.0,1e-07,120,False,900.0,2,0.0054230476735899,0.0736413448654348,3.059756303022548,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
127,100,2,35.0,70.0,3.0,1e-07,80,False,900.0,2,0.0054230476735899,0.0736413448654348,3.059756303022548,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
129,100,2,35.0,70.0,3.0,5e-07,25,False,900.0,2,111.63330940366409,10.565666538541905,8.600061854008672,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
130,100,2,35.0,70.0,3.0,5e-07,50,False,900.0,2,0.01770310360662805,0.1330530105132088,2.905613518055957,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
131,100,2,35.0,70.0,3.0,5e-07,80,False,900.0,2,0.027514325683750274,0.1658744274556819,3.040729420375809,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
133,100,2,35.0,70.0,5.0,1e-08,25,False,900.0,2,119.27449064981394,10.921286126176438,8.274176567982918,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
132,100,2,35.0,70.0,3.0,5e-07,120,False,900.0,2,0.027514325683750274,0.1658744274556819,3.040729420375809,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
134,100,2,35.0,70.0,5.0,1e-08,50,False,900.0,2,0.004059778335295451,0.06371638984826,3.1591934070450236,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
136,100,2,35.0,70.0,5.0,1e-08,120,False,900.0,2,0.00513817697456449,0.07168107821848448,4.122274874399804,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
135,100,2,35.0,70.0,5.0,1e-08,80,False,900.0,2,0.00513817697456449,0.07168107821848448,4.122274874399804,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
137,100,2,35.0,70.0,5.0,1e-07,25,False,900.0,2,119.80785842201595,10.945677613652613,8.329805006177539,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
138,100,2,35.0,70.0,5.0,1e-07,50,False,900.0,2,0.004231454397111038,0.06504963026114013,3.099501583291504,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
139,100,2,35.0,70.0,5.0,1e-07,80,False,900.0,2,0.00513282269158006,0.07164372053139102,4.123005781708709,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
140,100,2,35.0,70.0,5.0,1e-07,120,False,900.0,2,0.00513282269158006,0.07164372053139102,4.123005781708709,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
142,100,2,35.0,70.0,5.0,5e-07,50,False,900.0,2,0.006645846268163837,0.08152206000932409,3.109532415012953,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
141,100,2,35.0,70.0,5.0,5e-07,25,False,900.0,2,116.36184789373326,10.787114901294657,8.311770316018642,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
143,100,2,35.0,70.0,5.0,5e-07,80,False,900.0,2,0.02688233768394324,0.16395834130639172,4.247492306144918,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
144,100,2,35.0,70.0,5.0,5e-07,120,False,900.0,2,0.02688233768394324,0.16395834130639172,4.247492306144918,vittima non trovata entro 15 minuti (n_drones=2 < soglia=3)
145,100,3,25.0,25.0,1.0,1e-08,25,True,172.70000000000002,3,4.426526426029611e-05,0.006653214580959802,30.560301507581183,
149,100,3,25.0,25.0,1.0,1e-07,25,True,172.70000000000002,3,4.4264836733200313e-05,0.0066531824515189955,30.560301508869248,
153,100,3,25.0,25.0,1.0,5e-07,25,True,172.70000000000002,3,4.4262934098131165e-05,0.006653039463142479,30.56030151460104,
147,100,3,25.0,25.0,1.0,1e-08,80,True,487.70000000000005,3,4.426526426029611e-05,0.006653214580959802,30.560301507581183,
148,100,3,25.0,25.0,1.0,1e-08,120,True,487.70000000000005,3,4.426526426029611e-05,0.006653214580959802,30.560301507581183,
151,100,3,25.0,25.0,1.0,1e-07,80,True,487.70000000000005,3,4.4264836733200313e-05,0.0066531824515189955,30.560301508869248,
152,100,3,25.0,25.0,1.0,1e-07,120,True,487.70000000000005,3,4.4264836733200313e-05,0.0066531824515189955,30.560301508869248,
146,100,3,25.0,25.0,1.0,1e-08,50,True,661.0,3,4.426526426029611e-05,0.006653214580959802,30.560301507581183,
157,100,3,25.0,25.0,3.0,1e-08,25,True,173.10000000000002,3,4.4265226913756404e-05,0.00665321177430543,30.560301507497243,
150,100,3,25.0,25.0,1.0,1e-07,50,True,661.0,3,4.4264836733200313e-05,0.0066531824515189955,30.560301508869248,
155,100,3,25.0,25.0,1.0,5e-07,80,True,487.70000000000005,3,4.4262934098131165e-05,0.006653039463142479,30.56030151460104,
161,100,3,25.0,25.0,3.0,1e-07,25,True,173.10000000000002,3,4.426479935229651e-05,0.006653179642268537,30.560301508785194,
154,100,3,25.0,25.0,1.0,5e-07,50,True,661.0,3,4.4262934098131165e-05,0.006653039463142479,30.56030151460104,
