run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
201,200,3,142.9,81.0,157.5,2.48,1e-05,0.05,25,center,center,False,900.0,2,333.29775543036516,18.256444216505173,7.715242057817082,vittima non trovata entro 15 minuti
245,200,3,135.7,155.4,199.3,4.71,1e-07,0.05,25,0.60,0.58,True,189.20000000000002,3,0.015275932210824855,0.12359584220686735,0.9668324576641645,
249,200,3,87.3,130.2,149.8,4.38,1e-07,0.05,50,0.60,0.45,True,140.20000000000002,3,0.004326766143304366,0.06577815855817466,0.18669517396554275,
241,200,3,153.0,27.5,149.7,3.79,1e-07,0.05,25,center,center,True,295.1,3,0.0019276362940474712,0.043904855016814154,1.7066410683296203,
242,200,3,142.4,164.2,210.3,1.72,1e-07,0.05,25,0.35,0.40,True,277.0,3,0.0030032492280595616,0.05480190898189188,1.5180295404337831,
248,200,3,68.9,23.2,66.4,1.05,1e-07,0.05,50,0.45,0.55,True,169.8,3,0.03208066639195799,0.17911076570647,2.7147105363872925,
251,200,3,48.9,131.1,133.5,2.27,1e-07,0.05,80,center,center,True,130.8,3,0.0032053821552472136,0.05661609448952845,2.200145250236205,
252,200,3,84.3,89.5,115.9,2.25,1e-07,0.05,80,0.35,0.40,True,133.70000000000002,3,0.0020781463359435966,0.045586690337680764,0.47156316332972764,
253,200,3,87.2,154.8,170.8,4.23,1e-07,0.05,80,0.45,0.55,True,174.8,3,0.004107313763029606,0.06408832782207385,2.614055126483334,
254,200,3,89.3,137.9,157.4,1.64,1e-07,0.05,80,0.60,0.45,True,151.20000000000002,3,0.0015593774598501636,0.039488953643394546,0.9141812774770778,
255,200,3,95.6,157.7,177.6,2.76,1e-07,0.05,80,0.60,0.58,True,159.20000000000002,3,0.017136929453331125,0.13090809544612253,3.7940624446357636,
259,200,3,34.7,40.4,46.2,4.79,1e-07,0.05,120,0.60,0.45,True,93.60000000000001,3,0.010009246073194611,0.1000462196846768,6.094542495827548,
256,200,3,96.6,115.2,143.3,4.6,1e-07,0.05,120,center,center,True,152.70000000000002,3,0.0017416164935960634,0.04173267896500371,1.7922163693764561,
250,200,3,165.1,46.2,165.3,3.82,1e-07,0.05,50,0.60,0.58,True,297.8,3,0.0015468071353205732,0.03932946904447825,2.180985387344906,
214,200,3,162.8,32.5,160.1,2.8,1e-05,0.05,80,0.60,0.45,False,900.0,2,0.0,0.0,11.870037957646865,vittima non trovata entro 15 minuti
260,200,3,46.1,163.0,163.2,1.85,1e-07,0.05,120,0.60,0.58,False,145.9,3,0.019075308980125112,0.13811339174795872,10.524570635631578,vittima non trovata entro 15 minuti
247,200,3,168.1,170.4,232.3,2.04,1e-07,0.05,50,0.35,0.40,True,347.6,3,0.0014126785314663055,0.037585616018183145,3.5186121736964155,
257,200,3,155.1,21.1,150.9,2.87,1e-07,0.05,120,0.35,0.40,True,229.8,3,0.006279400196345066,0.07924266651460604,3.1643273651837664,
210,200,3,45.4,156.7,157.0,4.14,1e-05,0.05,50,0.60,0.58,False,900.0,2,0.0014047874072399594,0.03748049368991768,14.005884698892004,vittima non trovata entro 15 minuti
232,200,3,120.8,44.0,122.2,2.68,1e-05,0.2,80,0.35,0.40,False,900.0,0,nan,nan,35.66384043579178,vittima non trovata entro 15 minuti
227,200,3,111.9,70.2,125.2,3.65,1e-05,0.2,50,0.35,0.40,False,900.0,1,6.731613057885967e-29,8.204640795236539e-15,6.525173758738224,vittima non trovata entro 15 minuti
258,200,3,138.6,29.8,135.9,3.95,1e-07,0.05,120,0.45,0.55,True,277.2,3,0.01406298986507207,0.11858747769082564,1.3550712986995346,
223,200,3,130.9,158.7,198.7,4.28,1e-05,0.2,25,0.45,0.55,False,900.0,2,61.35162624738696,7.8327278931025655,4.459789742687859,vittima non trovata entro 15 minuti
215,200,3,55.3,46.3,65.1,4.72,1e-05,0.05,80,0.60,0.58,False,900.0,2,6.731613057885967e-29,8.204640795236539e-15,15.312495731769673,vittima non trovata entro 15 minuti
269,200,3,47.2,72.6,79.7,2.36,1e-07,0.2,50,0.60,0.45,True,122.2,3,0.004251201626789944,0.06520123945746695,2.0209029700968935,
228,200,3,113.1,50.4,117.2,1.03,1e-05,0.2,50,0.45,0.55,False,900.0,1,0.0,0.0,11.318719001162854,vittima non trovata entro 15 minuti
268,200,3,162.6,155.2,217.7,1.15,1e-07,0.2,50,0.45,0.55,True,148.6,3,0.004754169750180745,0.06895048767181233,1.4419559400737607,
222,200,3,168.0,151.6,219.3,2.69,1e-05,0.2,25,0.35,0.40,False,900.0,0,1964.3956610291048,44.321503370588694,33.27577481058262,vittima non trovata entro 15 minuti
271,200,3,77.8,166.2,176.9,1.24,1e-07,0.2,80,center,center,True,135.70000000000002,3,0.02739550724154753,0.1655158821429156,4.48401157755487,
