run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2917,200,4,138.6,125.2,179.7,1.68,1e-06,120,0.35,0.40,True,234.5,3,0.01526230723598882,0.123540710844599,0.7714428439873032,
2943,200,4,24.3,52.4,51.2,2.18,1e-07,25,0.45,0.55,True,105.5,3,0.00088884866042758,0.029813565040557963,0.9609351592964032,
2925,200,4,161.9,90.0,178.5,2.64,1e-05,25,0.60,0.58,True,221.10000000000002,3,0.002983800349029617,0.05462417366907821,0.5740149477604533,
2933,200,4,47.9,44.5,58.3,3.36,1e-05,80,0.45,0.55,True,164.8,3,0.0006386048644161661,0.025270632449864924,1.1133402974065254,
2926,200,4,123.2,72.9,136.3,1.25,1e-05,50,center,center,True,246.60000000000002,3,0.03981535259500176,0.19953784752522957,2.286535198927775,
2947,200,4,64.4,32.3,65.3,3.95,1e-07,50,0.35,0.40,True,107.9,3,5.0034596289782605e-06,0.0022368414402854442,3.0196874196454266,
2940,200,4,122.6,153.7,189.6,2.69,1e-05,120,0.60,0.58,True,164.4,3,0.0015441501525287936,0.039295676002949656,0.17209689609326065,
2942,200,4,81.6,105.9,126.7,1.37,1e-07,25,0.35,0.40,True,144.5,3,0.0025550940913587495,0.050547938547073804,0.8502320968003293,
2930,200,4,159.8,63.7,165.6,2.82,1e-05,50,0.60,0.58,True,216.20000000000002,3,0.012340241066009021,0.11108663765732142,0.36167976599752294,
2948,200,4,113.1,96.6,141.7,1.32,1e-07,50,0.45,0.55,True,132.5,3,0.00017768908706195918,0.013330007016575766,0.2909787195591633,
2938,200,4,133.9,104.2,162.7,2.08,1e-05,120,0.45,0.55,True,198.20000000000002,3,0.003372396909531412,0.058072342035872915,0.2147494257084758,
2939,200,4,125.7,142.9,183.3,4.14,1e-05,120,0.60,0.45,True,194.8,3,0.0022031960351358974,0.046938215082551846,0.12344987431693626,
2937,200,4,144.1,110.8,174.7,4.86,1e-05,120,0.35,0.40,True,210.4,3,0.0034990070447858037,0.059152405232465434,2.1943060204480274,
2954,200,4,22.5,129.3,125.5,1.56,1e-07,80,0.60,0.45,True,116.60000000000001,3,0.01212944113493975,0.1101337420363975,0.4651005168119128,
2951,200,4,93.4,29.3,91.7,4.89,1e-07,80,center,center,True,151.1,3,0.002859914003121422,0.05347816379721187,1.473444616288024,
2952,200,4,72.1,37.6,74.6,3.42,1e-07,80,0.35,0.40,True,134.6,3,0.0023141769124176764,0.048105892699519426,1.6169706261110923,
2945,200,4,157.7,161.6,218.7,2.37,1e-07,25,0.60,0.58,True,197.3,3,0.03840790840835221,0.1959793570975071,1.9977020113087687,
2959,200,4,53.5,28.2,53.8,3.57,1e-07,120,0.60,0.45,True,94.5,3,0.023985157254136608,0.15487142168307427,2.765700933865538,
2956,200,4,95.5,74.1,113.9,1.06,1e-07,120,center,center,True,133.1,3,0.0007923921563202217,0.028149461030723515,0.4757634688430307,
2958,200,4,61.8,120.8,129.0,4.48,1e-07,120,0.45,0.55,True,118.0,3,0.006104200207833325,0.07812938120728542,2.1720609992074706,
2953,200,4,133.1,42.3,133.4,2.44,1e-07,80,0.45,0.55,True,169.9,3,0.010516730908150796,0.10255111363681428,0.48700052217384837,
2961,200,4,53.5,91.1,98.9,4.92,1e-06,25,center,center,True,118.2,3,0.003296005167828715,0.05741084538507263,4.26454227120905,
2950,200,4,159.0,117.3,190.6,1.67,1e-07,50,0.60,0.58,True,206.70000000000002,3,0.009647049638920617,0.09821939543145548,0.31726261397354144,
2957,200,4,86.8,41.2,89.5,2.67,1e-07,120,0.35,0.40,True,147.20000000000002,3,0.005969664000678164,0.07726360074885304,0.7004632629700475,
2964,200,4,25.3,113.9,110.8,3.73,1e-06,25,0.60,0.45,True,111.7,3,0.004015832717321657,0.06337059820864607,0.43419289729276916,
2949,200,4,148.1,102.4,173.1,4.31,1e-07,50,0.60,0.45,True,220.60000000000002,3,0.006363046686087061,0.07976870743648201,0.09721476930110656,
2955,200,4,157.2,159.5,216.9,3.24,1e-07,80,0.60,0.58,True,201.9,3,0.009771510959713792,0.09885095325647493,0.3010695100772914,
2922,200,4,98.1,109.3,139.8,2.75,1e-05,25,0.35,0.40,True,372.20000000000005,3,0.027562940297089694,0.16602090319321147,9.90834869964576,
2968,200,4,70.2,138.8,148.9,1.19,1e-06,50,0.45,0.55,True,130.6,3,0.0038078049774153697,0.06170741428236456,0.423624250393801,
2969,200,4,95.4,138.5,161.3,2.11,1e-06,50,0.60,0.45,True,128.70000000000002,3,0.004803069584423578,0.06930418157963904,0.22823540792134117,
2970,200,4,32.6,114.0,112.5,3.07,1e-06,50,0.60,0.58,True,110.7,3,0.009539675027324526,0.09767125998636715,6.524536304668679,
2825,200,4,112.9,84.7,134.1,3.75,1e-07,25,0.60,0.58,False,900.0,2,0.0022867421279899316,0.04781989259701376,0.025637144149543253,vittima non trovata entro 15 minuti
2966,200,4,20.1,140.7,136.6,2.75,1e-06,50,center,center,True,141.8,3,0.008073631611165916,0.08985338953632142,2.2965556410359937,
2962,200,4,47.4,169.5,169.9,1.09,1e-06,25,0.35,0.40,True,157.10000000000002,3,0.03457750834220755,0.1859502845983505,2.0078862255178027,
2963,200,4,126.5,153.1,191.6,4.44,1e-06,25,0.45,0.55,True,169.8,3,0.002057009753014964,0.045354269402284104,3.6226302435418027,
2960,200,4,167.3,127.6,203.4,4.82,1e-07,120,0.60,0.58,True,206.9,3,0.009789659043543423,0.09894270586325918,5.191914760063214,
2973,200,4,48.1,43.5,57.8,3.52,1e-06,80,0.45,0.55,True,91.80000000000001,3,0.015271094619163412,0.1235762704533658,1.4808322336095947,
2965,200,4,67.6,139.9,148.7,4.15,1e-06,25,0.60,0.58,True,155.3,3,0.004884431900299644,0.06988871082156004,0.09165337512918144,
2974,200,4,55.8,59.2,74.3,4.23,1e-06,80,0.60,0.45,True,97.80000000000001,3,0.024689949523992158,0.15713035837797915,0.8235407923892837,
2971,200,4,125.1,108.1,158.3,2.73,1e-06,80,center,center,True,151.8,3,0.004333532771000477,0.06582957368083495,0.744287290876949,
2972,200,4,114.3,20.8,110.4,2.67,1e-06,80,0.35,0.40,True,160.20000000000002,3,0.02095192282253528,0.1447477903891292,4.712408125485444,
2975,200,4,66.8,119.1,129.8,4.2,1e-06,80,0.60,0.58,True,120.2,3,0.008132502037279674,0.09018038610074629,0.40726109316729364,
2977,200,4,39.7,148.6,147.7,2.34,1e-06,120,0.35,0.40,True,129.5,3,0.004476513394043619,0.06690675148326676,0.19846993852834682,
2979,200,4,82.0,21.1,78.7,4.14,1e-06,120,0.60,0.45,True,110.9,3,0.001884256665608245,0.04340802535946832,5.271190796826466,
