run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
133,100,3,9.7,40.0,35.4,1.35,1e-07,80,0.45,0.55,True,53.400000000000006,3,0.005870272716769995,0.07661770498239943,0.726878039722277,
142,100,3,16.6,25.2,23.3,3.84,1e-06,25,0.35,0.40,True,40.2,3,0.004541490935610008,0.0673905849181472,0.04155425604584396,
123,100,3,28.9,60.2,60.2,3.05,1e-07,25,0.45,0.55,True,94.80000000000001,3,0.004134662879930029,0.06430134430888695,1.0483363421869922,
125,100,3,58.1,55.4,73.2,3.12,1e-07,25,0.60,0.58,True,93.5,3,0.004270552026405743,0.06534946079659527,0.3330978434751147,
122,100,3,30.4,73.3,72.9,2.97,1e-07,25,0.35,0.40,True,102.10000000000001,3,0.005738504000378187,0.07575291413786131,0.4057314401056925,
129,100,3,51.8,21.4,49.6,4.29,1e-07,50,0.60,0.45,True,80.5,3,0.015513049416846688,0.12455139267325231,1.1343283071914303,
128,100,3,45.2,49.8,60.2,3.17,1e-07,50,0.45,0.55,True,90.7,3,0.00890301173111112,0.09435577211337481,0.33889343056091986,
126,100,3,72.0,56.6,84.6,4.35,1e-07,50,center,center,True,102.9,3,0.00376974186802414,0.06139822365528289,0.23124288280600333,
141,100,3,34.1,47.4,51.5,2.63,1e-06,25,center,center,True,65.10000000000001,3,0.0038783135753765975,0.06227610758048866,1.9779427836927,
147,100,3,11.6,30.9,26.8,2.74,1e-06,50,0.35,0.40,True,54.2,3,0.0025897758935925995,0.05088984076996704,0.21982228894595338,
144,100,3,27.1,42.1,43.2,1.74,1e-06,25,0.60,0.45,True,56.7,3,0.0011234671412604417,0.033518161364556404,1.2709618115770405,
143,100,3,43.6,60.8,67.8,3.42,1e-06,25,0.45,0.55,True,70.0,3,0.0032843764708704593,0.05730947976443739,2.4909988259868845,
145,100,3,41.7,14.5,37.9,2.49,1e-06,25,0.60,0.58,True,59.300000000000004,3,0.00022677673224020097,0.015059107949682841,4.777988540211009,
146,100,3,51.8,39.4,58.1,1.87,1e-06,50,center,center,True,69.7,3,0.004621456087507497,0.0679812921876857,0.0649984180762871,
134,100,3,74.3,11.2,69.6,1.31,1e-07,80,0.60,0.45,True,84.4,3,0.012860297881489319,0.11340325339905076,9.957828036104715,
131,100,3,74.0,59.0,87.6,4.58,1e-07,80,center,center,True,107.30000000000001,3,0.004416563830840551,0.06645723309648507,0.6153657630722837,
135,100,3,55.1,34.7,58.3,3.48,1e-07,80,0.60,0.58,True,92.10000000000001,3,0.0034239822510492733,0.05851480369145293,0.2522241484527876,
148,100,3,54.8,42.5,62.4,4.53,1e-06,50,0.45,0.55,True,71.5,3,0.003246414814642151,0.05697731842270353,0.18386927592128371,
149,100,3,35.3,72.1,73.6,3.94,1e-06,50,0.60,0.45,True,72.7,3,0.0010698216276488423,0.0327081278530099,0.12259219240230743,
132,100,3,30.4,75.8,75.2,2.23,1e-07,80,0.35,0.40,True,104.0,3,0.011503499943351777,0.10725437027623526,0.4446607376092623,
151,100,3,39.9,70.4,74.1,3.21,1e-06,80,center,center,True,70.60000000000001,3,0.001314592677143238,0.036257312050719345,3.522771282275195,
150,100,3,58.7,27.2,58.1,1.8,1e-06,50,0.60,0.58,True,70.8,3,0.003973099295093774,0.06303252569185035,0.06630790908460228,
154,100,3,46.5,52.6,63.2,4.78,1e-06,80,0.60,0.45,True,60.1,3,0.004551667301572918,0.06746604554568852,0.14302237712716445,
155,100,3,35.0,35.3,42.6,4.7,1e-06,80,0.60,0.58,True,62.300000000000004,3,0.002076933440855946,0.04557338522488697,2.5106115456168516,
153,100,3,26.6,63.6,62.4,4.85,1e-06,80,0.45,0.55,True,62.2,3,0.002300410408699239,0.04796259384874049,2.1908758944790323,
156,100,3,26.1,47.4,47.3,2.45,1e-06,120,center,center,True,56.0,3,0.003985600906158725,0.0631316157417084,3.4760181520509703,
139,100,3,68.1,49.4,77.2,2.62,1e-07,120,0.60,0.45,True,102.5,3,0.0036123405327921814,0.06010274979393357,0.17634559920804396,
137,100,3,80.5,20.8,77.1,1.18,1e-07,120,0.35,0.40,True,105.9,3,0.02217469012768654,0.1489116856653182,2.183349334696834,
138,100,3,67.7,60.6,83.8,4.41,1e-07,120,0.45,0.55,True,104.0,3,0.0037462345135942862,0.061206490779935147,0.17698801647401805,
161,100,3,13.9,19.4,16.9,2.89,1e-05,25,center,center,True,42.900000000000006,3,0.006597069881895691,0.08122234841406453,3.1205478019826383,
157,100,3,17.7,28.0,26.3,2.62,1e-06,120,0.35,0.40,True,52.800000000000004,3,0.0018452592849072052,0.04295648129103692,0.2548684066892355,
152,100,3,11.3,80.3,75.5,1.36,1e-06,80,0.35,0.40,True,79.2,3,0.03272855270214209,0.18091034437572134,1.210815232191855,
165,100,3,10.6,27.0,22.7,3.83,1e-05,25,0.60,0.58,True,45.400000000000006,3,0.0012577935308950086,0.03546538496752867,1.9378353529750767,
159,100,3,35.3,21.5,34.6,4.72,1e-06,120,0.60,0.45,True,58.400000000000006,3,0.0004917520935504617,0.02217548406575292,5.057735028976112,
158,100,3,51.9,32.8,54.5,2.75,1e-06,120,0.45,0.55,True,70.3,3,0.004254126028359146,0.06522366156816976,0.02122579852648033,
175,100,3,38.5,51.5,57.3,1.64,1e-05,80,0.60,0.58,True,40.6,3,0.0027142646236755167,0.05209860481505735,0.17807955663639308,
170,100,3,33.4,46.5,50.3,3.73,1e-05,50,0.60,0.58,True,58.7,3,0.0018080405466691768,0.04252106003698846,0.15776196955451388,
163,100,3,68.9,68.7,90.2,2.49,1e-05,25,0.45,0.55,True,83.0,3,0.002379395487651624,0.04877904762960859,0.19718229392812497,
174,100,3,55.9,23.6,54.2,1.85,1e-05,80,0.60,0.45,True,62.400000000000006,3,0.007746703129631722,0.08801535735104256,1.9774433284943793,
180,100,3,43.3,16.7,40.0,1.86,1e-05,120,0.60,0.58,True,54.7,3,0.0006431228634609312,0.02535986718145289,2.291050574750055,
176,100,3,36.0,71.8,73.7,1.44,1e-05,120,center,center,True,60.5,3,0.012689003918073233,0.11264547890649333,2.072534609075064,
172,100,3,44.0,9.9,39.4,2.93,1e-05,80,0.35,0.40,True,63.1,3,0.0031220529239016862,0.05587533376993543,2.4721729828032313,
160,100,3,73.8,66.8,92.5,4.14,1e-06,120,0.60,0.58,True,99.0,3,0.00572185829502907,0.07564296593226015,0.04760920697047914,
166,100,3,53.9,50.1,66.6,4.24,1e-05,50,center,center,True,86.30000000000001,3,0.0028953685231883986,0.0538086287057048,0.2395208691372179,
168,100,3,53.7,21.6,51.5,2.31,1e-05,50,0.45,0.55,True,88.30000000000001,3,0.003901007387798431,0.062458045020625096,0.034358161145526755,
185,100,3,31.1,14.1,27.7,2.97,1e-07,25,0.60,0.58,True,43.400000000000006,3,0.0024288850490249807,0.049283719918701153,0.7570747578122535,
169,100,3,62.7,71.4,87.9,2.49,1e-05,50,0.60,0.45,True,84.80000000000001,3,0.005058560506672608,0.07112355802877558,0.04656301328526094,
178,100,3,74.3,18.4,70.6,3.18,1e-05,120,0.45,0.55,True,65.5,3,0.0009645548146337735,0.031057282795405226,1.328655626093698,
162,100,3,52.1,41.8,59.7,3.96,1e-05,25,0.35,0.40,True,103.0,3,0.002955549055872331,0.054364961656128585,2.4259038300928535,
177,100,3,69.3,46.9,76.8,3.12,1e-05,120,0.35,0.40,True,75.2,3,0.00422302863309024,0.06498483386983643,1.969491853728741,
179,100,3,74.5,40.6,78.1,2.38,1e-05,120,0.60,0.45,True,74.7,3,0.004201801567091952,0.06482130488575459,0.07934336190881935,
198,100,3,11.0,26.1,21.9,2.47,1e-07,120,0.45,0.55,True,19.5,3,0.0012660866316595038,0.03558211111864364,0.673453026150147,
171,100,3,54.2,67.0,79.2,2.89,1e-05,80,center,center,True,100.9,3,0.017090896423521598,0.13073215527758117,1.1781131763523214,
167,100,3,24.5,57.4,55.9,4.25,1e-05,50,0.35,0.40,True,110.7,3,0.002156654435431784,0.04643979366267451,0.1633282294243819,
173,100,3,24.8,12.1,21.1,1.87,1e-05,80,0.45,0.55,True,99.7,3,0.008696288130124002,0.09325389069697844,1.7886673839187166,
182,100,3,74.6,12.9,70.0,2.96,1e-07,25,0.35,0.40,True,85.7,3,0.02413135264548975,0.15534269421343816,4.999064326950947,
183,100,3,58.3,36.3,61.8,1.45,1e-07,25,0.45,0.55,True,94.60000000000001,3,0.002211577467041489,0.047027411868414457,0.15810271239665644,
184,100,3,42.9,68.2,73.7,1.53,1e-07,25,0.60,0.45,True,96.0,3,0.005047917126093662,0.07104869545666312,0.30388286676536674,
187,100,3,36.8,39.0,46.6,1.96,1e-07,50,0.35,0.40,True,81.0,3,0.004213339212047966,0.06491023965483386,0.24093427179373697,
186,100,3,58.3,42.5,65.1,3.9,1e-07,50,center,center,True,85.9,3,0.004031394266821818,0.06349326158594956,0.22320624129475405,
