run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,note
2912,100,5,8.5,96.8,91.8,3.66,1e-07,0.1,80,0.35,0.40,False,900.0,0,5,139.91106885166613,11.828400942294191,17.54579428664627,17.551833248480527,24.938,21.282,18.152,412.452,3.257,vittima non trovata entro 15 minuti
3072,100,5,78.2,63.6,93.8,4.69,1e-06,0.1,80,0.35,0.40,True,134.20000000000002,3,5,0.297878363678396,0.5457823409367474,0.7677707449126966,1.2558051896952678,3.773,0.919,0.933,10.146,1.865,
3085,100,5,74.7,12.5,70.1,4.21,1e-05,0.05,25,0.60,0.58,True,114.2,3,5,0.04906101902694485,0.22149722126235546,0.5393868711592192,2.1030076987291015,6.071,1.857,0.566,8.145,1.761,
3086,100,5,41.1,85.4,88.1,1.53,1e-05,0.05,50,center,center,True,93.0,3,5,0.02398411337824033,0.15486805150914867,0.2839349468003456,0.94192876443229,2.623,1.09,0.307,0.869,1.628,
3079,100,5,96.6,75.8,115.7,4.25,1e-06,0.1,120,0.60,0.45,True,169.4,3,5,0.01622913010640441,0.1273936030827467,2.3739540471403475,6.1392718527992365,-1.413,5.662,2.377,9.519,1.639,
2901,100,5,75.2,73.2,97.9,1.78,1e-07,0.1,25,center,center,False,900.0,2,5,30.017532940360304,5.478825872425615,7.729438743888533,11.118990341454998,5.509,3.726,9.112,375.681,3.822,vittima non trovata entro 15 minuti
3089,100,5,77.5,47.2,83.9,3.62,1e-05,0.05,50,0.60,0.45,True,102.60000000000001,3,5,0.031552275080962915,0.1776296008016764,0.36422409999626393,0.8457436846587126,4.546,0.922,0.393,5.094,1.672,
3088,100,5,43.0,89.2,92.3,3.88,1e-05,0.05,50,0.45,0.55,True,90.80000000000001,3,5,0.01931371111696935,0.13897377852303416,0.2223956475964711,1.2221015153564285,5.105,1.227,0.231,0.885,1.703,
3101,100,5,60.8,4.6,55.8,4.15,1e-05,0.1,25,center,center,True,78.10000000000001,3,4,7.641776739190689,2.764376374372833,3.023105508816522,11.247894484410985,13.017,8.872,3.073,11.565,1.977,
3096,100,5,86.1,66.8,102.0,1.22,1e-05,0.05,120,center,center,True,110.30000000000001,3,5,0.0041597451796829684,0.06449608654548715,0.6753614052701084,1.1620982504515058,0.532,0.683,0.678,1.512,1.654,
