run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
4920,200,5,142.5,95.0,1.0,1e-06,120,0.60,0.58,True,128.6,3,5.913192215113129e-05,0.007689728353533126,24.476680217516368,
4922,200,5,142.5,95.0,3.0,1e-08,25,0.35,0.45,True,134.0,3,45.77550607279041,6.7657598296710475,16.122765230801324,
4921,200,5,142.5,95.0,3.0,1e-08,25,center,center,True,132.8,3,21.88898506017641,4.678566560408905,19.874953271329826,
4903,200,5,142.5,95.0,1.0,1e-06,25,0.45,0.55,True,206.9,3,160.80350140156403,12.680832046895189,13.744791252615821,
4904,200,5,142.5,95.0,1.0,1e-06,25,0.60,0.45,True,206.3,3,5.288073171319766,2.299581086050189,24.928479559798195,
4902,200,5,142.5,95.0,1.0,1e-06,25,0.35,0.45,True,213.10000000000002,3,1.3593721385982458,1.165921154537581,26.460634480523588,
4923,200,5,142.5,95.0,3.0,1e-08,25,0.45,0.55,True,136.8,3,11.456520360523447,3.384748197506492,11.78481139286874,
4901,200,5,142.5,95.0,1.0,1e-06,25,center,center,True,219.20000000000002,3,3.991675601443493,1.9979178164888298,24.33293293178691,
4910,200,5,142.5,95.0,1.0,1e-06,50,0.60,0.58,True,211.70000000000002,3,44.429941085598806,6.665578825998445,17.162820434931348,
4924,200,5,142.5,95.0,3.0,1e-08,25,0.60,0.45,True,145.5,3,10.35242610526992,3.2175186254736614,7.163222738055359,
4925,200,5,142.5,95.0,3.0,1e-08,25,0.60,0.58,True,130.8,3,16.25132466558073,4.031293175344697,15.72064188048564,
4928,200,5,142.5,95.0,3.0,1e-08,50,0.45,0.55,True,140.70000000000002,3,4.264203808866207,2.064994868968494,7.591787391109363,
4932,200,5,142.5,95.0,3.0,1e-08,80,0.35,0.45,True,149.0,3,5.548555005434064,2.355537094896632,10.90047546481821,
4934,200,5,142.5,95.0,3.0,1e-08,80,0.60,0.45,True,140.70000000000002,3,27.94864157506926,5.286647479742645,12.039204165781065,
4940,200,5,142.5,95.0,3.0,1e-08,120,0.60,0.58,True,129.1,3,2.92591823842521,1.7105315660417408,11.148817513021083,
4933,200,5,142.5,95.0,3.0,1e-08,80,0.45,0.55,True,150.3,3,2.490880656977246,1.578252405978602,5.869913387703747,
4931,200,5,142.5,95.0,3.0,1e-08,80,center,center,True,172.0,3,105.20472312176278,10.256935366948687,40.505642677080665,
