run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2869,100,5,52.4,9.9,47.7,1.94,1e-05,0.1,50,0.60,0.45,True,90.2,3,0.03987773819935362,0.1996941115790689,3.0199442031979853,
2871,100,5,23.4,65.3,63.0,4.78,1e-05,0.1,80,center,center,True,75.8,3,0.016862094533473863,0.12985412790309694,4.289564198997187,
2877,100,5,46.7,41.8,55.6,3.28,1e-05,0.1,120,0.35,0.40,True,67.9,3,0.03938947608169345,0.1984678212751212,1.8685216372394935,
2865,100,5,74.2,38.5,76.9,2.97,1e-05,0.1,25,0.60,0.58,True,103.0,3,0.011804270944010153,0.10864746174674378,1.3552143067535338,
2879,100,5,22.7,53.7,51.8,3.84,1e-05,0.1,120,0.60,0.45,True,58.5,3,0.04289442138496512,0.20710968443065408,0.6545118315513503,
2870,100,5,46.7,77.8,83.9,3.56,1e-05,0.1,50,0.60,0.58,True,88.7,3,0.03963792795712502,0.19909276219171057,1.6083760685158695,
2867,100,5,73.3,69.6,94.0,4.21,1e-05,0.1,50,0.35,0.40,True,102.2,3,0.003318421287573181,0.057605740057507994,2.523789661231958,
2880,100,5,35.3,47.7,52.4,2.42,1e-05,0.1,120,0.60,0.58,True,66.9,3,0.05204775701531393,0.2281397751715249,0.5586624095042558,
2873,100,5,63.8,76.6,92.7,4.25,1e-05,0.1,80,0.45,0.55,False,92.9,3,0.07539434703102565,0.2745803107125958,10.575824144404002,vittima non trovata entro 15 minuti
2868,100,5,75.1,55.1,86.1,3.51,1e-05,0.1,50,0.45,0.55,True,109.10000000000001,3,0.07184215787098137,0.2680338744841431,0.48160600419323973,
2884,100,5,26.4,28.0,31.4,3.91,1e-07,0.05,25,0.60,0.45,True,62.800000000000004,3,0.02091636828898651,0.14462492277953518,1.9762592412903663,
2875,100,5,79.9,59.7,92.8,3.56,1e-05,0.1,80,0.60,0.58,True,105.80000000000001,3,0.01150239689267124,0.10724922793508232,2.4355923824905394,
2899,100,5,11.5,26.6,22.6,3.11,1e-07,0.05,120,0.60,0.45,True,35.300000000000004,3,0.020679258127159275,0.14380284464209767,2.310037512962885,
2881,100,5,81.0,11.0,76.2,2.67,1e-07,0.05,25,center,center,False,104.2,3,0.025622567110640388,0.1600705066857739,10.38597162041362,vittima non trovata entro 15 minuti
2872,100,5,71.9,32.5,72.3,3.81,1e-05,0.1,80,0.35,0.40,True,121.4,3,0.0405276143645999,0.2013147147244828,1.872336986865828,
2878,100,5,79.0,47.8,85.5,3.94,1e-05,0.1,120,0.45,0.55,True,114.80000000000001,3,0.011973991895075352,0.10942573689528141,0.3305466302167033,
2886,100,5,49.7,29.8,51.1,2.67,1e-07,0.05,50,center,center,True,90.4,3,0.040364769832126654,0.20090985499005928,1.1097842106031084,
2885,100,5,42.2,48.0,56.8,2.67,1e-07,0.05,25,0.60,0.58,True,112.2,3,0.014058830120100634,0.11856993767435586,0.8374560200672996,
2889,100,5,37.0,52.2,57.0,4.5,1e-07,0.05,50,0.60,0.45,True,97.0,3,0.042788561121050485,0.20685396085415064,0.8771363476827578,
2882,100,5,61.6,41.5,67.3,2.23,1e-07,0.05,25,0.35,0.40,True,124.80000000000001,3,0.041434501421592475,0.20355466445550313,2.067468788281738,
2893,100,5,36.1,32.2,41.3,1.47,1e-07,0.05,80,0.45,0.55,True,83.60000000000001,3,0.015407881055065176,0.12412848607416904,0.3897075811090721,
2888,100,5,34.7,78.2,79.0,4.29,1e-07,0.05,50,0.45,0.55,True,108.2,3,0.03523610547012669,0.18771282713263548,2.1390877690979284,
2897,100,5,37.6,18.9,35.4,2.37,1e-07,0.05,120,0.35,0.40,True,73.0,3,0.079150666230156,0.2813372819769111,0.8992797879024009,
2887,100,5,73.2,35.4,74.7,4.72,1e-07,0.05,50,0.35,0.40,True,123.30000000000001,3,0.060714290275259375,0.24640269940741188,2.6837807657547734,
2904,100,5,31.3,19.2,29.9,3.01,1e-07,0.1,25,0.60,0.45,True,60.400000000000006,3,0.02077969655802757,0.14415164431260424,0.7554894325455374,
2883,100,5,76.9,13.5,72.4,3.36,1e-07,0.05,25,0.45,0.55,True,143.3,3,0.07103380402079575,0.266521676455773,1.328249887023277,
2890,100,5,50.6,63.0,73.8,1.18,1e-07,0.05,50,0.60,0.58,True,105.30000000000001,3,0.06312851023244763,0.2512538760545748,0.8905832933173011,
2912,100,5,18.2,23.0,22.3,1.32,1e-07,0.1,80,0.35,0.40,True,37.800000000000004,3,0.03973835923191052,0.19934482494389094,0.7950362273256659,
2896,100,5,42.9,33.9,47.7,1.33,1e-07,0.05,120,center,center,True,91.5,3,0.04057667126015089,0.20143651918197675,0.9824371152418495,
2892,100,5,53.5,36.9,58.1,2.67,1e-07,0.05,80,0.35,0.40,True,105.2,4,0.001689459033492729,0.04110302949288202,1.453186859529554,
2891,100,5,71.6,67.6,91.4,4.36,1e-07,0.05,80,center,center,True,126.9,3,0.008506406415033542,0.09223018169251074,1.9263287998870944,
2905,100,5,26.3,39.8,40.8,3.72,1e-07,0.1,25,0.60,0.58,True,79.60000000000001,3,0.07735909956535988,0.27813503836330994,0.5899608967138987,
2895,100,5,54.3,27.6,54.2,2.82,1e-07,0.05,80,0.60,0.58,True,106.80000000000001,3,0.0637810991001252,0.2525492013452531,0.2852195986534053,
2898,100,5,50.4,37.8,56.0,3.91,1e-07,0.05,120,0.45,0.55,True,105.4,3,0.03368421570042623,0.1835326011923392,3.0128230101676174,
