run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note,noise_detect_factor
863,100,3,61.5,79.8,,3.0,1e-08,25,0.45,0.55,True,147.4,3,0.0006861217436287458,0.026193925700985443,12.526765515711539,,100.0
866,100,3,67.8,79.8,,3.0,1e-08,50,center,center,True,146.3,3,0.0007830213530676847,0.02798251870485723,8.069785939136967,,100.0
708,100,3,12.1,11.8,,5.0,1e-06,50,0.45,0.55,True,674.6,3,6.005524684446782e-06,0.002450617204796943,46.479298091571565,,100.0
879,100,3,57.9,79.6,,3.0,1e-08,120,0.60,0.45,True,131.20000000000002,3,1.032574013444382e-12,1.0161564906274928e-06,15.387966304689845,,100.0
906,100,3,27.4,20.6,,3.0,1e-07,50,center,center,True,43.0,3,0.0036311486374719904,0.06025901291484943,5.550010826463484,,100.0
901,100,3,56.7,22.6,,3.0,1e-07,25,center,center,True,74.10000000000001,3,0.0015549870837711568,0.03943332453358652,1.285437037065303,,100.0
902,100,3,46.3,43.6,,3.0,1e-07,25,0.35,0.45,True,89.2,3,0.0012553060600649865,0.03543029861664994,0.29411592565944145,,100.0
912,100,3,35.4,9.1,,3.0,1e-07,80,0.35,0.45,True,39.300000000000004,3,0.03553518196021961,0.18850777692238485,17.459610630837226,,100.0
914,100,3,36.0,9.1,,3.0,1e-07,80,0.60,0.45,True,36.800000000000004,3,0.02722480365168878,0.16499940500404472,17.963106834784064,,100.0
911,100,3,30.0,13.4,,3.0,1e-07,80,center,center,True,43.400000000000006,3,0.028252722597892035,0.16808546218484224,12.193028296236676,,100.0
903,100,3,49.9,43.9,,3.0,1e-07,25,0.45,0.55,True,93.0,3,0.002467922937891842,0.04967819378652813,0.11929245097973425,,100.0
904,100,3,57.7,34.8,,3.0,1e-07,25,0.60,0.45,True,88.7,3,0.0013333103415654427,0.036514522337906086,1.7169139976947179,,100.0
905,100,3,66.2,51.5,,3.0,1e-07,25,0.60,0.58,True,95.10000000000001,3,0.001632675328616982,0.04040637732607295,0.1870317034877948,,100.0
907,100,3,50.1,72.5,,3.0,1e-07,50,0.35,0.45,True,101.4,3,0.0016326593547764875,0.04040617966074605,0.05834554051760161,,100.0
908,100,3,18.7,77.8,,3.0,1e-07,50,0.45,0.55,True,101.0,3,0.005401249037372534,0.07349319041498018,10.621958282548839,,100.0
917,100,3,71.8,47.0,,3.0,1e-07,120,0.35,0.45,True,84.4,3,0.00259197006808701,0.05091139428543486,0.11618147263900575,,100.0
913,100,3,34.0,73.1,,3.0,1e-07,80,0.45,0.55,True,95.10000000000001,3,0.002167747037188507,0.04655907040726336,0.8095359552065684,,100.0
920,100,3,20.0,54.3,,3.0,1e-07,120,0.60,0.58,True,85.9,3,6.056983590273564e-05,0.0077826625201620845,0.173776457762711,,100.0
910,100,3,61.6,55.7,,3.0,1e-07,50,0.60,0.58,True,107.30000000000001,3,0.0016431001391783533,0.04053517163129266,0.19690830211205707,,100.0
919,100,3,73.6,36.0,,3.0,1e-07,120,0.60,0.45,True,97.80000000000001,3,0.005374517493481929,0.07331110075208207,19.316346929581062,,100.0
915,100,3,71.5,64.0,,3.0,1e-07,80,0.60,0.58,True,109.7,3,0.0009819752588466593,0.031336484468533786,0.20447929083407204,,100.0
918,100,3,48.5,32.0,,3.0,1e-07,120,0.45,0.55,True,97.10000000000001,3,0.0017049776495752331,0.04129137500223543,1.4815269836096572,,100.0
916,100,3,13.5,76.3,,3.0,1e-07,120,center,center,True,134.4,3,0.0002148572061682463,0.014658008260614615,33.40093475604299,,100.0
945,100,3,16.4,40.2,,3.0,1e-06,25,0.60,0.58,True,54.800000000000004,3,0.0011989017264373615,0.03462516030919368,0.7212219889786683,,100.0
946,100,3,37.6,26.3,,3.0,1e-06,50,center,center,True,59.2,3,nan,nan,1.7625009084400614,,100.0
