run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3514,200,4,132.2,29.8,5.0,1e-08,100.0,80,0.60,0.45,True,106.4,3,0.0,0.0,75.0925073552817,
3516,200,4,132.2,29.8,5.0,1e-08,100.0,120,center,center,True,104.9,3,2.0194839173657902e-28,1.4210854715202004e-14,74.62469434761084,
3512,200,4,132.2,29.8,5.0,1e-08,100.0,80,0.35,0.45,True,118.10000000000001,3,8.585782609687862e-08,0.00029301506121166983,65.8585782379465,
3502,200,4,132.2,29.8,5.0,1e-08,100.0,25,0.35,0.45,True,218.5,3,0.04699592147720046,0.21678542727130085,74.54953876019623,
3473,200,4,132.2,29.8,3.0,1e-06,100.0,80,0.45,0.55,False,900.0,2,nan,nan,2.1978891394255937,vittima non trovata entro 15 minuti
3513,200,4,132.2,29.8,5.0,1e-08,100.0,80,0.45,0.55,True,132.1,3,2.0216356619701285e-07,0.00044962602926989543,63.451695986790654,
3517,200,4,132.2,29.8,5.0,1e-08,100.0,120,0.35,0.45,True,118.7,3,4.3336507495082455e-07,0.0006583046976521013,73.82602846871785,
3518,200,4,132.2,29.8,5.0,1e-08,100.0,120,0.45,0.55,True,118.9,3,0.0,0.0,75.0925073552817,
3468,200,4,132.2,29.8,3.0,1e-06,100.0,50,0.45,0.55,False,900.0,2,308.09708322288606,17.552694471872005,15.540147133663408,vittima non trovata entro 15 minuti
3520,200,4,132.2,29.8,5.0,1e-08,100.0,120,0.60,0.58,True,119.4,3,0.0,0.0,75.0925073552817,
3469,200,4,132.2,29.8,3.0,1e-06,100.0,50,0.60,0.45,False,900.0,2,300.2821244540286,17.32865039332344,14.984140948942128,vittima non trovata entro 15 minuti
3470,200,4,132.2,29.8,3.0,1e-06,100.0,50,0.60,0.58,False,900.0,1,189.35328739684692,13.760570024415664,13.259459962029045,vittima non trovata entro 15 minuti
3467,200,4,132.2,29.8,3.0,1e-06,100.0,50,0.35,0.45,False,900.0,2,218.108813856169,14.7685075026615,14.168196060070361,vittima non trovata entro 15 minuti
3511,200,4,132.2,29.8,5.0,1e-08,100.0,80,center,center,True,203.5,3,0.005952980428635502,0.07715555993339367,74.7694584770376,
3515,200,4,132.2,29.8,5.0,1e-08,100.0,80,0.60,0.58,True,196.5,3,1.800185344057915,1.3417098583739762,73.2552899421786,
3531,200,4,132.2,29.8,5.0,1e-07,50.0,80,center,center,True,143.5,3,3.6365392344339494e-08,0.0001906971220137826,30.0412051694515,
3535,200,4,132.2,29.8,5.0,1e-07,50.0,80,0.60,0.58,True,135.3,3,3.282944739506893e-08,0.00018118898254327974,29.41610496867924,
3532,200,4,132.2,29.8,5.0,1e-07,50.0,80,0.35,0.45,True,161.20000000000002,3,6.999778603057734e-07,0.0008366467954314851,31.326459197893623,
3528,200,4,132.2,29.8,5.0,1e-07,50.0,50,0.45,0.55,True,164.9,3,1.3297259359513788e-06,0.0011531374315108234,33.93235122084609,
3527,200,4,132.2,29.8,5.0,1e-07,50.0,50,0.35,0.45,True,172.5,3,1.4173672910217673e-06,0.0011905323561423131,40.37133348060401,
3519,200,4,132.2,29.8,5.0,1e-08,100.0,120,0.60,0.45,True,206.20000000000002,3,8.677205148351128,2.945709617112849,73.8388526773573,
3534,200,4,132.2,29.8,5.0,1e-07,50.0,80,0.60,0.45,True,162.70000000000002,3,0.0007306948030434384,0.027031367021359436,29.40696728370123,
3533,200,4,132.2,29.8,5.0,1e-07,50.0,80,0.45,0.55,True,164.0,3,1.1903157726517407e-06,0.0010910159360209826,33.42196005642089,
3521,200,4,132.2,29.8,5.0,1e-07,50.0,25,center,center,True,212.20000000000002,3,211.2394173585294,14.53407779525517,35.569837509709586,
3536,200,4,132.2,29.8,5.0,1e-07,50.0,120,center,center,True,159.9,3,8.163439445049019e-08,0.0002857173331292489,29.383829345675178,
3526,200,4,132.2,29.8,5.0,1e-07,50.0,50,center,center,True,187.0,3,1118.7680495409186,33.44799021676666,38.77035096950437,
3537,200,4,132.2,29.8,5.0,1e-07,50.0,120,0.35,0.45,True,147.9,3,1252.8217270603495,35.39522181114775,43.071312832956586,
3539,200,4,132.2,29.8,5.0,1e-07,50.0,120,0.60,0.45,True,155.9,3,953.350016009706,30.876366625782023,38.38228707345456,
3530,200,4,132.2,29.8,5.0,1e-07,50.0,50,0.60,0.58,True,185.5,3,256.87566123134945,16.027341053067705,34.13174971231816,
3538,200,4,132.2,29.8,5.0,1e-07,50.0,120,0.45,0.55,True,159.20000000000002,3,960.7849525722198,30.996531299037635,41.38554080327011,
3540,200,4,132.2,29.8,5.0,1e-07,50.0,120,0.60,0.58,True,164.9,3,496.3559765151819,22.27904792658748,39.65601337274825,
3523,200,4,132.2,29.8,5.0,1e-07,50.0,25,0.45,0.55,True,216.70000000000002,3,303.58756832027393,17.423764470408624,35.19566277798131,
3525,200,4,132.2,29.8,5.0,1e-07,50.0,25,0.60,0.58,True,236.3,3,45.34564017546018,6.7339171494354,33.628855921294836,
3546,200,4,132.2,29.8,5.0,1e-07,100.0,50,center,center,True,163.0,3,8.618524894577718e-07,0.0009283601076402259,24.398951907250574,
3548,200,4,132.2,29.8,5.0,1e-07,100.0,50,0.45,0.55,True,167.60000000000002,3,2.8567374576161258e-06,0.001690188586405708,27.44198381755107,
3547,200,4,132.2,29.8,5.0,1e-07,100.0,50,0.35,0.45,True,170.8,3,0.005620682664463028,0.07497121223818531,28.204263366417234,
3541,200,4,132.2,29.8,5.0,1e-07,100.0,25,center,center,True,210.10000000000002,3,36.117710630135896,6.009801213861894,29.05899109121458,
3553,200,4,132.2,29.8,5.0,1e-07,100.0,80,0.45,0.55,True,135.20000000000002,3,3.801717891311981e-06,0.0019497994489977631,30.282434257497847,
3554,200,4,132.2,29.8,5.0,1e-07,100.0,80,0.60,0.45,True,139.3,3,0.0015130217619918234,0.038897580413077414,27.91062950296476,
3551,200,4,132.2,29.8,5.0,1e-07,100.0,80,center,center,True,165.4,3,4.709127295157481e-08,0.00021700523715241255,26.563542567159228,
3556,200,4,132.2,29.8,5.0,1e-07,100.0,120,center,center,True,139.0,3,4.232981946669562e-06,0.0020574211884467316,25.140788980801457,
3545,200,4,132.2,29.8,5.0,1e-07,100.0,25,0.60,0.58,True,220.10000000000002,3,208.66979865915238,14.445407528316824,34.51879791063217,
3559,200,4,132.2,29.8,5.0,1e-07,100.0,120,0.60,0.45,True,134.0,3,0.004009631973407075,0.06332165485366816,23.838120498589102,
3552,200,4,132.2,29.8,5.0,1e-07,100.0,80,0.35,0.45,True,166.8,3,0.00014846712308200298,0.012184708575998154,30.201335004363575,
3543,200,4,132.2,29.8,5.0,1e-07,100.0,25,0.45,0.55,True,222.9,3,45.88781951179984,6.774054879597585,30.729200986702363,
3542,200,4,132.2,29.8,5.0,1e-07,100.0,25,0.35,0.45,True,233.9,3,6.270256392269563,2.504048001191184,29.42652996677767,
3560,200,4,132.2,29.8,5.0,1e-07,100.0,120,0.60,0.58,True,141.1,3,9.185829141202858e-06,0.0030308132804913695,25.085619023447403,
3550,200,4,132.2,29.8,5.0,1e-07,100.0,50,0.60,0.58,True,199.70000000000002,3,15.109023670310176,3.887032759099179,29.492196660218674,
3557,200,4,132.2,29.8,5.0,1e-07,100.0,120,0.35,0.45,True,157.8,3,5.797800556874644e-06,0.0024078622379352693,30.168659333250922,
3555,200,4,132.2,29.8,5.0,1e-07,100.0,80,0.60,0.58,True,167.10000000000002,3,0.0002069431639500198,0.01438551924506098,29.899835273739743,
3558,200,4,132.2,29.8,5.0,1e-07,100.0,120,0.45,0.55,True,168.0,3,6.345032736022875e-07,0.0007965571376883691,33.247698495068356,
3573,200,4,132.2,29.8,5.0,1e-06,50.0,80,0.45,0.55,True,138.20000000000002,3,0.0006299646499338057,0.02509909659596946,10.026953495245293,
3572,200,4,132.2,29.8,5.0,1e-06,50.0,80,0.35,0.45,True,153.5,3,0.004885023501609041,0.06989294314599323,1.2155807785543418,
3574,200,4,132.2,29.8,5.0,1e-06,50.0,80,0.60,0.45,True,140.20000000000002,3,0.0006514139357888795,0.025522812066637163,12.535681973061157,
3562,200,4,132.2,29.8,5.0,1e-06,50.0,25,0.35,0.45,True,227.3,3,93.22723992786833,9.655425414132115,15.835119115356976,
3576,200,4,132.2,29.8,5.0,1e-06,50.0,120,center,center,True,133.8,3,0.0005990661784138558,0.024475828452043373,9.862033900737135,
3575,200,4,132.2,29.8,5.0,1e-06,50.0,80,0.60,0.58,True,140.70000000000002,3,0.005338699325314269,0.073066403533459,10.987900009093249,
3578,200,4,132.2,29.8,5.0,1e-06,50.0,120,0.45,0.55,True,135.9,3,0.0005505986886446733,0.023464839412292455,8.455600219833626,
